State,Year,Month,TelehealthType,ServiceType,ServiceCount,RatePer1000Beneficiaries,DataQuality
Alabama,2019,201902,Other telehealth,All,0.00,0,
Alabama,2019,201902,Remote patient monitoring,All,11.00,0,
Alabama,2019,201902,Store and forward,All,0.00,DS,
Alabama,2019,201903,Live audio/video,All,2312.00,1.8,
Alabama,2019,201903,Other telehealth,All,0.00,0,
Alabama,2019,201903,Remote patient monitoring,All,0.00,DS,
Alabama,2019,201903,Store and forward,All,0.00,0,
Alabama,2019,201904,Live audio/video,All,2672.00,2,
Alabama,2019,201904,Other telehealth,All,0.00,DS,
Alabama,2019,201904,Remote patient monitoring,All,14.00,0,
Alabama,2019,201904,Store and forward,All,0.00,DS,
Alabama,2019,201905,Live audio/video,All,2410.00,1.8,
Alabama,2019,201905,Other telehealth,All,0.00,DS,
Alabama,2019,201905,Remote patient monitoring,All,20.00,0,
Alabama,2019,201905,Store and forward,All,0.00,DS,
Alabama,2019,201906,Live audio/video,All,2283.00,1.8,
Alabama,2019,201906,Other telehealth,All,0.00,0,
Alabama,2019,201906,Remote patient monitoring,All,19.00,0,
Alabama,2019,201906,Store and forward,All,0.00,0,
Alabama,2019,201907,Live audio/video,All,2588.00,2,
Alabama,2019,201907,Other telehealth,All,0.00,0,
Alabama,2019,201907,Remote patient monitoring,All,37.00,0,
Alabama,2019,201907,Store and forward,All,0.00,DS,
Alabama,2019,201908,Live audio/video,All,2560.00,1.9,
Alabama,2019,201908,Other telehealth,All,0.00,DS,
Alabama,2019,201908,Remote patient monitoring,All,34.00,0,
Alabama,2019,201908,Store and forward,All,0.00,0,
Alabama,2019,201909,Live audio/video,All,2397.00,1.8,
Alabama,2019,201909,Other telehealth,All,0.00,DS,
Alabama,2019,201909,Remote patient monitoring,All,26.00,0,
Alabama,2019,201909,Store and forward,All,0.00,0,
Alabama,2019,201910,Live audio/video,All,2435.00,1.8,
Alabama,2019,201910,Other telehealth,All,0.00,DS,
Alabama,2019,201910,Remote patient monitoring,All,60.00,0,
Alabama,2019,201910,Store and forward,All,0.00,0,
Alabama,2019,201911,Live audio/video,All,2186.00,1.7,
Alabama,2019,201911,Other telehealth,All,0.00,DS,
Alabama,2019,201911,Remote patient monitoring,All,63.00,0,
Alabama,2019,201911,Store and forward,All,0.00,0,
Alabama,2019,201912,Live audio/video,All,2025.00,1.6,
Alabama,2019,201912,Other telehealth,All,0.00,0,
Alabama,2019,201912,Remote patient monitoring,All,80.00,0,
Alabama,2019,201912,Store and forward,All,0.00,0,
Alabama,2020,202001,Live audio/video,All,2500.00,2,
Alabama,2020,202001,Other telehealth,All,0.00,DS,
Alabama,2020,202001,Remote patient monitoring,All,63.00,0,
Alabama,2020,202001,Store and forward,All,0.00,DS,
Alabama,2020,202002,Live audio/video,All,2395.00,2,
Alabama,2020,202002,Other telehealth,All,0.00,DS,
Alabama,2020,202002,Remote patient monitoring,All,90.00,0,
Alabama,2020,202002,Store and forward,All,0.00,DS,
Alabama,2020,202003,Live audio/video,All,33629.00,28.6,
Alabama,2020,202003,Other telehealth,All,126.00,0,
Alabama,2020,202003,Remote patient monitoring,All,102.00,0,
Alabama,2020,202003,Store and forward,All,40.00,0,
Alabama,2020,202004,Live audio/video,All,125908.00,106.3,
Alabama,2020,202004,Other telehealth,All,324.00,0,
Alabama,2020,202004,Remote patient monitoring,All,103.00,0,
Alabama,2020,202004,Store and forward,All,141.00,0,
Alabama,2020,202005,Live audio/video,All,96358.00,80.7,
Alabama,2020,202005,Other telehealth,All,129.00,0,
Alabama,2020,202005,Remote patient monitoring,All,110.00,0,
Alabama,2020,202005,Store and forward,All,37.00,0,
Alabama,2020,202006,Live audio/video,All,81155.00,67.3,
Alabama,2020,202006,Other telehealth,All,86.00,0,
Alabama,2020,202006,Remote patient monitoring,All,112.00,0,
Alabama,2020,202006,Store and forward,All,30.00,0,
Alabama,2020,202007,Live audio/video,All,83643.00,68.8,
Alabama,2020,202007,Other telehealth,All,93.00,0,
Alabama,2020,202007,Remote patient monitoring,All,126.00,0,
Alabama,2020,202007,Store and forward,All,21.00,0,
Alabama,2020,202008,Live audio/video,All,77439.00,63.1,
Alabama,2020,202008,Other telehealth,All,86.00,0,
Alabama,2020,202008,Remote patient monitoring,All,147.00,0,
Alabama,2020,202008,Store and forward,All,14.00,0,
Alabama,2020,202009,Live audio/video,All,70546.00,57.3,
Alabama,2020,202009,Other telehealth,All,86.00,0,
Alabama,2020,202009,Remote patient monitoring,All,106.00,0,
Alabama,2020,202009,Store and forward,All,0.00,DS,
Alabama,2020,202010,Live audio/video,All,61123.00,49.4,
Alabama,2020,202010,Other telehealth,All,41.00,0,
Alabama,2020,202010,Remote patient monitoring,All,177.00,0,
Alabama,2020,202010,Store and forward,All,0.00,DS,
Alabama,2020,202011,Live audio/video,All,56855.00,45.7,
Alabama,2020,202011,Other telehealth,All,48.00,0,
Alabama,2020,202011,Remote patient monitoring,All,163.00,0,
Alabama,2020,202011,Store and forward,All,0.00,DS,
Alabama,2020,202012,Live audio/video,All,61869.00,49.3,
Alabama,2020,202012,Other telehealth,All,106.00,0,
Alabama,2020,202012,Remote patient monitoring,All,181.00,0,
Alabama,2020,202012,Store and forward,All,17.00,0,
Alabama,2021,202101,Live audio/video,All,63258.00,50.1,
Alabama,2021,202101,Other telehealth,All,82.00,0,
Alabama,2021,202101,Remote patient monitoring,All,168.00,0,
Alabama,2021,202101,Store and forward,All,0.00,DS,
Alabama,2021,202102,Live audio/video,All,59037.00,46.5,
Alabama,2021,202102,Other telehealth,All,45.00,0,
Alabama,2021,202102,Remote patient monitoring,All,156.00,0,
Alabama,2021,202102,Store and forward,All,11.00,0,
Alabama,2021,202103,Live audio/video,All,59312.00,46.4,
Alabama,2021,202103,Other telehealth,All,29.00,0,
Alabama,2021,202103,Remote patient monitoring,All,120.00,0,
Alabama,2021,202103,Store and forward,All,0.00,DS,
Alabama,2021,202104,Live audio/video,All,51657.00,40.1,
Alabama,2021,202104,Other telehealth,All,25.00,0,
Alabama,2021,202104,Remote patient monitoring,All,142.00,0,
Alabama,2021,202104,Store and forward,All,0.00,DS,
Alabama,2021,202105,Live audio/video,All,42650.00,32.8,
Alabama,2021,202105,Other telehealth,All,18.00,0,
Alabama,2021,202105,Remote patient monitoring,All,139.00,0,
Alabama,2021,202105,Store and forward,All,0.00,DS,
Alabama,2021,202106,Live audio/video,All,37931.00,29,
Alabama,2021,202106,Other telehealth,All,21.00,0,
Alabama,2021,202106,Remote patient monitoring,All,134.00,0,
Alabama,2021,202106,Store and forward,All,12.00,0,
Alabama,2021,202107,Live audio/video,All,33616.00,25.6,
Alabama,2021,202107,Other telehealth,All,25.00,0,
Alabama,2021,202107,Remote patient monitoring,All,158.00,0,
Alabama,2021,202107,Store and forward,All,0.00,DS,
Alabama,2021,202108,Live audio/video,All,44708.00,33.9,
Alabama,2021,202108,Other telehealth,All,35.00,0,
Alabama,2021,202108,Remote patient monitoring,All,178.00,0,
Alabama,2021,202108,Store and forward,All,12.00,0,
Alabama,2021,202109,Live audio/video,All,43067.00,32.5,
Alabama,2021,202109,Other telehealth,All,42.00,0,
Alabama,2021,202109,Remote patient monitoring,All,171.00,0,
Alabama,2021,202109,Store and forward,All,0.00,DS,
Alabama,2021,202110,Live audio/video,All,36946.00,27.7,
Alabama,2021,202110,Other telehealth,All,13.00,0,
Alabama,2021,202110,Remote patient monitoring,All,183.00,0,
Alabama,2021,202110,Store and forward,All,12.00,0,
Alabama,2021,202111,Live audio/video,All,34802.00,26,
Alabama,2021,202111,Other telehealth,All,22.00,0,
Alabama,2021,202111,Remote patient monitoring,All,204.00,0,
Alabama,2021,202111,Store and forward,All,18.00,0,
Alabama,2021,202112,Live audio/video,All,32553.00,24.2,
Alabama,2021,202112,Other telehealth,All,14.00,0,
Alabama,2021,202112,Remote patient monitoring,All,208.00,0,
Alabama,2021,202112,Store and forward,All,14.00,0,
Alabama,2022,202201,Live audio/video,All,46420.00,34.1,
Alabama,2022,202201,Other telehealth,All,18.00,0,
Alabama,2022,202201,Remote patient monitoring,All,192.00,0,
Alabama,2022,202201,Store and forward,All,22.00,0,
Alabama,2022,202202,Live audio/video,All,36332.00,26.6,
Alabama,2022,202202,Other telehealth,All,0.00,DS,
Alabama,2022,202202,Remote patient monitoring,All,172.00,0,
Alabama,2022,202202,Store and forward,All,14.00,0,
Alabama,2022,202203,Live audio/video,All,35056.00,25.5,
Alabama,2022,202203,Other telehealth,All,0.00,DS,
Alabama,2022,202203,Remote patient monitoring,All,186.00,0,
Alabama,2022,202203,Store and forward,All,15.00,0,
Alabama,2022,202204,Live audio/video,All,29497.00,21.4,
Alabama,2022,202204,Other telehealth,All,0.00,DS,
Alabama,2022,202204,Remote patient monitoring,All,208.00,0,
Alabama,2022,202204,Store and forward,All,0.00,DS,
Alabama,2022,202205,Live audio/video,All,29362.00,21.2,
Alabama,2022,202205,Other telehealth,All,0.00,DS,
Alabama,2022,202205,Remote patient monitoring,All,222.00,0,
Alabama,2022,202205,Store and forward,All,19.00,0,
Alabama,2022,202206,Live audio/video,All,29523.00,21.2,
Alabama,2022,202206,Other telehealth,All,0.00,DS,
Alabama,2022,202206,Remote patient monitoring,All,196.00,0,
Alabama,2022,202206,Store and forward,All,14.00,0,
Alabama,2022,202207,Live audio/video,All,27681.00,19.8,
Alabama,2022,202207,Other telehealth,All,0.00,DS,
Alabama,2022,202207,Remote patient monitoring,All,228.00,0,
Alabama,2022,202207,Store and forward,All,13.00,0,
Alabama,2022,202208,Live audio/video,All,30609.00,21.7,
Alabama,2022,202208,Other telehealth,All,0.00,DS,
Alabama,2022,202208,Remote patient monitoring,All,228.00,0,
Alabama,2022,202208,Store and forward,All,12.00,0,
Alabama,2022,202209,Live audio/video,All,25836.00,18.3,
Alabama,2022,202209,Other telehealth,All,0.00,DS,
Alabama,2022,202209,Remote patient monitoring,All,200.00,0,
Alabama,2022,202209,Store and forward,All,0.00,DS,
Alabama,2022,202210,Live audio/video,All,24654.00,17.4,
Alabama,2022,202210,Other telehealth,All,0.00,DS,
Alabama,2022,202210,Remote patient monitoring,All,194.00,0,
Alabama,2022,202210,Store and forward,All,0.00,DS,
Alabama,2022,202211,Live audio/video,All,23313.00,16.3,
Alabama,2022,202211,Other telehealth,All,0.00,DS,
Alabama,2022,202211,Remote patient monitoring,All,228.00,0,
Alabama,2022,202211,Store and forward,All,0.00,0,
Alabama,2022,202212,Live audio/video,All,20140.00,14,
Alabama,2022,202212,Other telehealth,All,0.00,DS,
Alabama,2022,202212,Remote patient monitoring,All,237.00,0,
Alabama,2022,202212,Store and forward,All,0.00,0,
Alaska,2018,201801,Live audio/video,All,907.00,4.3,
Alaska,2018,201801,Other telehealth,All,0.00,0,
Alaska,2018,201801,Remote patient monitoring,All,0.00,0,
Alaska,2018,201801,Store and forward,All,459.00,2.2,
Alaska,2018,201802,Live audio/video,All,858.00,4,
Alaska,2018,201802,Other telehealth,All,0.00,0,
Alaska,2018,201802,Remote patient monitoring,All,0.00,DS,
Alaska,2018,201802,Store and forward,All,406.00,1.9,
Alaska,2018,201803,Live audio/video,All,1039.00,4.8,
Alaska,2018,201803,Other telehealth,All,0.00,0,
Alaska,2018,201803,Remote patient monitoring,All,0.00,DS,
Alaska,2018,201803,Store and forward,All,433.00,2,
Alaska,2018,201804,Live audio/video,All,977.00,4.5,
Alaska,2018,201804,Other telehealth,All,0.00,0,
Alaska,2018,201804,Remote patient monitoring,All,0.00,0,
Alaska,2018,201804,Store and forward,All,378.00,1.8,
Alaska,2018,201805,Live audio/video,All,1260.00,5.8,
Alaska,2018,201805,Other telehealth,All,0.00,0,
Alaska,2018,201805,Remote patient monitoring,All,0.00,0,
Alaska,2018,201805,Store and forward,All,440.00,2,
Alaska,2018,201806,Live audio/video,All,1015.00,4.6,
Alaska,2018,201806,Other telehealth,All,0.00,0,
Alaska,2018,201806,Remote patient monitoring,All,0.00,0,
Alaska,2018,201806,Store and forward,All,389.00,1.8,
Alaska,2018,201807,Live audio/video,All,1065.00,4.9,
Alaska,2018,201807,Other telehealth,All,0.00,0,
Alaska,2018,201807,Remote patient monitoring,All,0.00,0,
Alaska,2018,201807,Store and forward,All,415.00,1.9,
Alaska,2018,201808,Live audio/video,All,1177.00,5.3,
Alaska,2018,201808,Other telehealth,All,0.00,0,
Alaska,2018,201808,Remote patient monitoring,All,0.00,0,
Alaska,2018,201808,Store and forward,All,445.00,2,
Alaska,2018,201809,Live audio/video,All,1037.00,4.7,
Alaska,2018,201809,Other telehealth,All,0.00,0,
Alaska,2018,201809,Remote patient monitoring,All,0.00,0,
Alaska,2018,201809,Store and forward,All,344.00,1.6,
Alaska,2018,201810,Live audio/video,All,1248.00,5.6,
Alaska,2018,201810,Other telehealth,All,0.00,DS,
Alaska,2018,201810,Remote patient monitoring,All,0.00,0,
Alaska,2018,201810,Store and forward,All,551.00,2.5,
Alaska,2018,201811,Live audio/video,All,1121.00,5,
Alaska,2018,201811,Other telehealth,All,0.00,0,
Alaska,2018,201811,Remote patient monitoring,All,0.00,0,
Alaska,2018,201811,Store and forward,All,347.00,1.6,
Alaska,2018,201812,Live audio/video,All,1098.00,4.9,
Alaska,2018,201812,Other telehealth,All,0.00,0,
Alaska,2018,201812,Remote patient monitoring,All,0.00,0,
Alaska,2018,201812,Store and forward,All,361.00,1.6,
Alaska,2019,201901,Live audio/video,All,1168.00,5.2,
Alaska,2019,201901,Other telehealth,All,0.00,0,
Alaska,2019,201901,Remote patient monitoring,All,0.00,DS,
Alaska,2019,201901,Store and forward,All,489.00,2.2,
Alaska,2019,201902,Live audio/video,All,1119.00,5,
Alaska,2019,201902,Other telehealth,All,0.00,0,
Alaska,2019,201902,Remote patient monitoring,All,0.00,0,
Alaska,2019,201902,Store and forward,All,430.00,1.9,
Alaska,2019,201903,Live audio/video,All,1264.00,5.6,
Alaska,2019,201903,Other telehealth,All,0.00,0,
Alaska,2019,201903,Remote patient monitoring,All,0.00,0,
Alaska,2019,201903,Store and forward,All,477.00,2.1,
Alaska,2019,201904,Live audio/video,All,1425.00,6.3,
Alaska,2019,201904,Other telehealth,All,0.00,0,
Alaska,2019,201904,Remote patient monitoring,All,0.00,DS,
Alaska,2019,201904,Store and forward,All,539.00,2.4,
Alaska,2019,201905,Live audio/video,All,1538.00,6.8,
Alaska,2019,201905,Other telehealth,All,0.00,0,
Alaska,2019,201905,Remote patient monitoring,All,0.00,0,
Alaska,2019,201905,Store and forward,All,589.00,2.6,
Alaska,2019,201906,Live audio/video,All,1196.00,5.3,
Alaska,2019,201906,Other telehealth,All,0.00,0,
Alaska,2019,201906,Remote patient monitoring,All,0.00,0,
Alaska,2019,201906,Store and forward,All,542.00,2.4,
Alaska,2019,201907,Live audio/video,All,1541.00,6.8,
Alaska,2019,201907,Other telehealth,All,0.00,DS,
Alaska,2019,201907,Remote patient monitoring,All,0.00,0,
Alaska,2019,201907,Store and forward,All,628.00,2.8,
Alaska,2019,201908,Live audio/video,All,1525.00,6.7,
Alaska,2019,201908,Other telehealth,All,0.00,0,
Alaska,2019,201908,Remote patient monitoring,All,0.00,0,
Alaska,2019,201908,Store and forward,All,508.00,2.2,
Alaska,2019,201909,Live audio/video,All,1522.00,6.6,
Alaska,2019,201909,Other telehealth,All,0.00,0,
Alaska,2019,201909,Remote patient monitoring,All,0.00,DS,
Alaska,2019,201909,Store and forward,All,500.00,2.2,
Alaska,2019,201910,Live audio/video,All,1660.00,7.2,
Alaska,2019,201910,Other telehealth,All,0.00,0,
Alaska,2019,201910,Remote patient monitoring,All,0.00,0,
Alaska,2019,201910,Store and forward,All,583.00,2.5,
Alaska,2019,201911,Live audio/video,All,1488.00,6.5,
Alaska,2019,201911,Other telehealth,All,0.00,0,
Alaska,2019,201911,Remote patient monitoring,All,0.00,0,
Alaska,2019,201911,Store and forward,All,438.00,1.9,
Alaska,2019,201912,Live audio/video,All,1524.00,6.6,
Alaska,2019,201912,Other telehealth,All,0.00,DS,
Alaska,2019,201912,Remote patient monitoring,All,0.00,DS,
Alaska,2019,201912,Store and forward,All,448.00,1.9,
Alaska,2020,202001,Live audio/video,All,1855.00,8,
Alaska,2020,202001,Other telehealth,All,0.00,DS,
Alaska,2020,202001,Remote patient monitoring,All,0.00,0,
Alaska,2020,202001,Store and forward,All,553.00,2.4,
Alaska,2020,202002,Live audio/video,All,1715.00,7.4,
Alaska,2020,202002,Other telehealth,All,0.00,0,
Alaska,2020,202002,Remote patient monitoring,All,0.00,DS,
Alaska,2020,202002,Store and forward,All,535.00,2.3,
Alaska,2020,202003,Live audio/video,All,11784.00,50.5,
Alaska,2020,202003,Other telehealth,All,82.00,0,
Alaska,2020,202003,Remote patient monitoring,All,0.00,0,
Alaska,2020,202003,Store and forward,All,514.00,2.2,
Alaska,2020,202004,Live audio/video,All,45504.00,194,
Alaska,2020,202004,Other telehealth,All,156.00,0.7,
Alaska,2020,202004,Remote patient monitoring,All,0.00,DS,
Alaska,2020,202004,Store and forward,All,334.00,1.4,
Alaska,2020,202005,Live audio/video,All,36962.00,157,
Alaska,2020,202005,Other telehealth,All,43.00,0,
Alaska,2020,202005,Remote patient monitoring,All,0.00,DS,
Alaska,2020,202005,Store and forward,All,349.00,1.5,
Alaska,2020,202006,Live audio/video,All,31799.00,134.3,
Alaska,2020,202006,Other telehealth,All,66.00,0,
Alaska,2020,202006,Remote patient monitoring,All,11.00,0,
Alaska,2020,202006,Store and forward,All,301.00,1.3,
Alaska,2020,202007,Live audio/video,All,29816.00,125.6,
Alaska,2020,202007,Other telehealth,All,30.00,0,
Alaska,2020,202007,Remote patient monitoring,All,32.00,0,
Alaska,2020,202007,Store and forward,All,309.00,1.3,
Alaska,2020,202008,Live audio/video,All,29099.00,121.6,
Alaska,2020,202008,Other telehealth,All,25.00,0,
Alaska,2020,202008,Remote patient monitoring,All,23.00,0,
Alaska,2020,202008,Store and forward,All,358.00,1.5,
Alaska,2020,202009,Live audio/video,All,31019.00,129,
Alaska,2020,202009,Other telehealth,All,33.00,0,
Alaska,2020,202009,Remote patient monitoring,All,20.00,0,
Alaska,2020,202009,Store and forward,All,306.00,1.3,
Alaska,2020,202010,Live audio/video,All,33953.00,140.2,
Alaska,2020,202010,Other telehealth,All,35.00,0,
Alaska,2020,202010,Remote patient monitoring,All,21.00,0,
Alaska,2020,202010,Store and forward,All,289.00,1.2,
Alaska,2020,202011,Live audio/video,All,33922.00,139,
Alaska,2020,202011,Other telehealth,All,33.00,0,
Alaska,2020,202011,Remote patient monitoring,All,19.00,0,
Alaska,2020,202011,Store and forward,All,162.00,0.7,
Alaska,2020,202012,Live audio/video,All,37183.00,150.8,
Alaska,2020,202012,Other telehealth,All,29.00,0,
Alaska,2020,202012,Remote patient monitoring,All,15.00,0,
Alaska,2020,202012,Store and forward,All,259.00,1.1,
Alaska,2021,202101,Live audio/video,All,34707.00,140.2,
Alaska,2021,202101,Other telehealth,All,25.00,0,
Alaska,2021,202101,Remote patient monitoring,All,18.00,0,
Alaska,2021,202101,Store and forward,All,210.00,0.8,
Alaska,2021,202102,Live audio/video,All,32131.00,129,
Alaska,2021,202102,Other telehealth,All,22.00,0,
Alaska,2021,202102,Remote patient monitoring,All,15.00,0,
Alaska,2021,202102,Store and forward,All,172.00,0.7,
Alaska,2021,202103,Live audio/video,All,32585.00,130,
Alaska,2021,202103,Other telehealth,All,19.00,0,
Alaska,2021,202103,Remote patient monitoring,All,16.00,0,
Alaska,2021,202103,Store and forward,All,238.00,0.9,
Alaska,2021,202104,Live audio/video,All,28568.00,113.3,
Alaska,2021,202104,Other telehealth,All,16.00,0,
Alaska,2021,202104,Remote patient monitoring,All,19.00,0,
Alaska,2021,202104,Store and forward,All,213.00,0.8,
Alaska,2021,202105,Live audio/video,All,23246.00,91.9,
Alaska,2021,202105,Other telehealth,All,11.00,0,
Alaska,2021,202105,Remote patient monitoring,All,21.00,0,
Alaska,2021,202105,Store and forward,All,186.00,0.7,
Alaska,2021,202106,Live audio/video,All,21248.00,83.6,
Alaska,2021,202106,Other telehealth,All,43.00,0,
Alaska,2021,202106,Remote patient monitoring,All,22.00,0,
Alaska,2021,202106,Store and forward,All,113.00,0,
Alaska,2021,202107,Live audio/video,All,19048.00,74.7,
Alaska,2021,202107,Other telehealth,All,20.00,0,
Alaska,2021,202107,Remote patient monitoring,All,28.00,0,
Alaska,2021,202107,Store and forward,All,113.00,0,
Alaska,2021,202108,Live audio/video,All,21142.00,82.6,
Alaska,2021,202108,Other telehealth,All,0.00,DS,
Alaska,2021,202108,Remote patient monitoring,All,23.00,0,
Alaska,2021,202108,Store and forward,All,125.00,0.5,
Alaska,2021,202109,Live audio/video,All,23301.00,90.8,
Alaska,2021,202109,Other telehealth,All,0.00,DS,
Alaska,2021,202109,Remote patient monitoring,All,28.00,0,
Alaska,2021,202109,Store and forward,All,178.00,0.7,
Alaska,2021,202110,Live audio/video,All,23127.00,89.7,
Alaska,2021,202110,Other telehealth,All,30.00,0,
Alaska,2021,202110,Remote patient monitoring,All,21.00,0,
Alaska,2021,202110,Store and forward,All,191.00,0.7,
Alaska,2021,202111,Live audio/video,All,21803.00,84.2,
Alaska,2021,202111,Other telehealth,All,14.00,0,
Alaska,2021,202111,Remote patient monitoring,All,20.00,0,
Alaska,2021,202111,Store and forward,All,290.00,1.1,
Alaska,2021,202112,Live audio/video,All,20199.00,77.6,
Alaska,2021,202112,Other telehealth,All,0.00,DS,
Alaska,2021,202112,Remote patient monitoring,All,20.00,0,
Alaska,2021,202112,Store and forward,All,211.00,0.8,
Alaska,2022,202201,Live audio/video,All,23884.00,91.3,
Alaska,2022,202201,Other telehealth,All,0.00,DS,
Alaska,2022,202201,Remote patient monitoring,All,23.00,0,
Alaska,2022,202201,Store and forward,All,170.00,0.6,
Alaska,2022,202202,Live audio/video,All,22563.00,86,
Alaska,2022,202202,Other telehealth,All,13.00,0,
Alaska,2022,202202,Remote patient monitoring,All,21.00,0,
Alaska,2022,202202,Store and forward,All,130.00,0.5,
Alaska,2022,202203,Live audio/video,All,24074.00,91.5,
Alaska,2022,202203,Other telehealth,All,37.00,0,
Alaska,2022,202203,Remote patient monitoring,All,42.00,0,
Alaska,2022,202203,Store and forward,All,180.00,0.7,
Alaska,2022,202204,Live audio/video,All,18965.00,71.9,
Alaska,2022,202204,Other telehealth,All,64.00,0,
Alaska,2022,202204,Remote patient monitoring,All,36.00,0,
Alaska,2022,202204,Store and forward,All,218.00,0.8,
Alaska,2022,202205,Live audio/video,All,17448.00,66,
Alaska,2022,202205,Other telehealth,All,62.00,0,
Alaska,2022,202205,Remote patient monitoring,All,27.00,0,
Alaska,2022,202205,Store and forward,All,238.00,0.9,
Alaska,2022,202206,Live audio/video,All,16340.00,61.6,
Alaska,2022,202206,Other telehealth,All,70.00,0,
Alaska,2022,202206,Remote patient monitoring,All,29.00,0,
Alaska,2022,202206,Store and forward,All,262.00,1,
Alaska,2022,202207,Live audio/video,All,14352.00,54,
Alaska,2022,202207,Other telehealth,All,71.00,0,
Alaska,2022,202207,Remote patient monitoring,All,34.00,0,
Alaska,2022,202207,Store and forward,All,176.00,0.7,
Alaska,2022,202208,Live audio/video,All,16714.00,62.7,
Alaska,2022,202208,Other telehealth,All,68.00,0,
Alaska,2022,202208,Remote patient monitoring,All,27.00,0,
Alaska,2022,202208,Store and forward,All,153.00,0.6,
Alaska,2022,202209,Live audio/video,All,15550.00,58.2,
Alaska,2022,202209,Other telehealth,All,58.00,0,
Alaska,2022,202209,Remote patient monitoring,All,33.00,0,
Alaska,2022,202209,Store and forward,All,183.00,0.7,
Alaska,2022,202210,Live audio/video,All,15243.00,56.9,
Alaska,2022,202210,Other telehealth,All,60.00,0,
Alaska,2022,202210,Remote patient monitoring,All,29.00,0,
Alaska,2022,202210,Store and forward,All,245.00,0.9,
Alaska,2022,202211,Live audio/video,All,15400.00,57.3,
Alaska,2022,202211,Other telehealth,All,67.00,0,
Alaska,2022,202211,Remote patient monitoring,All,28.00,0,
Alaska,2022,202211,Store and forward,All,277.00,1,
Alaska,2022,202212,Live audio/video,All,15363.00,57,
Alaska,2022,202212,Other telehealth,All,55.00,0,
Alaska,2022,202212,Remote patient monitoring,All,29.00,0,
Alaska,2022,202212,Store and forward,All,270.00,1,
Arizona,2018,201801,Live audio/video,All,54545.00,27.6,
Arizona,2018,201801,Other telehealth,All,0.00,0,
Arizona,2018,201801,Remote patient monitoring,All,0.00,0,
Arizona,2018,201801,Store and forward,All,0.00,DS,
Arizona,2018,201802,Live audio/video,All,48764.00,25,
Arizona,2018,201802,Other telehealth,All,0.00,DS,
Arizona,2018,201802,Remote patient monitoring,All,0.00,0,
